date,window,score,regime
1975-08-06,full,53.63,cool
1975-08-06,rolling20y,47.56,cool
1975-08-07,full,53.63,cool
1975-08-07,rolling20y,47.56,cool
1975-08-08,full,53.63,cool
1975-08-08,rolling20y,47.56,cool
1975-08-11,full,53.63,cool
1975-08-11,rolling20y,47.56,cool
1975-08-12,full,53.63,cool
1975-08-12,rolling20y,47.56,cool
1975-08-13,full,53.63,cool
1975-08-13,rolling20y,47.56,cool
1975-08-14,full,53.63,cool
1975-08-14,rolling20y,47.56,cool
1975-08-15,full,53.63,cool
1975-08-15,rolling20y,47.56,cool
1975-08-18,full,53.63,cool
1975-08-18,rolling20y,47.56,cool
1975-08-19,full,53.63,cool
1975-08-19,rolling20y,47.56,cool
1975-08-20,full,53.63,cool
1975-08-20,rolling20y,47.56,cool
1975-08-21,full,53.63,cool
1975-08-21,rolling20y,47.56,cool
1975-08-22,full,53.63,cool
1975-08-22,rolling20y,47.56,cool
1975-08-25,full,53.63,cool
1975-08-25,rolling20y,47.56,cool
1975-08-26,full,53.63,cool
1975-08-26,rolling20y,47.56,cool
1975-08-27,full,53.63,cool
1975-08-27,rolling20y,47.56,cool
1975-08-28,full,53.63,cool
1975-08-28,rolling20y,47.56,cool
1975-08-29,full,53.63,cool
1975-08-29,rolling20y,47.56,cool
1975-09-01,full,53.28,cool
1975-09-01,rolling20y,47.29,cool
1975-09-02,full,53.28,cool
1975-09-02,rolling20y,47.29,cool
1975-09-03,full,53.28,cool
1975-09-03,rolling20y,47.29,cool
1975-09-04,full,53.28,cool
1975-09-04,rolling20y,47.29,cool
1975-09-05,full,53.28,cool
1975-09-05,rolling20y,47.29,cool
1975-09-08,full,53.28,cool
1975-09-08,rolling20y,47.29,cool
1975-09-09,full,53.28,cool
1975-09-09,rolling20y,47.29,cool
1975-09-10,full,53.28,cool
1975-09-10,rolling20y,47.29,cool
1975-09-11,full,53.28,cool
1975-09-11,rolling20y,47.29,cool
1975-09-12,full,53.28,cool
1975-09-12,rolling20y,47.29,cool
1975-09-15,full,53.28,cool
1975-09-15,rolling20y,47.29,cool
1975-09-16,full,53.28,cool
1975-09-16,rolling20y,47.29,cool
1975-09-17,full,53.28,cool
1975-09-17,rolling20y,47.29,cool
1975-09-18,full,53.28,cool
1975-09-18,rolling20y,47.29,cool
1975-09-19,full,53.28,cool
1975-09-19,rolling20y,47.29,cool
1975-09-22,full,53.28,cool
1975-09-22,rolling20y,47.29,cool
1975-09-23,full,53.28,cool
1975-09-23,rolling20y,47.29,cool
1975-09-24,full,53.28,cool
1975-09-24,rolling20y,47.29,cool
1975-09-25,full,53.28,cool
1975-09-25,rolling20y,47.29,cool
1975-09-26,full,53.28,cool
1975-09-26,rolling20y,47.29,cool
1975-09-29,full,53.28,cool
1975-09-29,rolling20y,47.29,cool
1975-09-30,full,53.28,cool
1975-09-30,rolling20y,47.29,cool
1975-10-01,full,53.46,cool
1975-10-01,rolling20y,46.61,cool
1975-10-02,full,53.46,cool
1975-10-02,rolling20y,46.61,cool
1975-10-03,full,53.46,cool
1975-10-03,rolling20y,46.61,cool
1975-10-06,full,53.46,cool
1975-10-06,rolling20y,46.61,cool
1975-10-07,full,53.46,cool
1975-10-07,rolling20y,46.61,cool
1975-10-08,full,53.46,cool
1975-10-08,rolling20y,46.61,cool
1975-10-09,full,53.46,cool
1975-10-09,rolling20y,46.61,cool
1975-10-10,full,53.46,cool
1975-10-10,rolling20y,46.61,cool
1975-10-13,full,53.46,cool
1975-10-13,rolling20y,46.61,cool
1975-10-14,full,53.46,cool
1975-10-14,rolling20y,46.61,cool
1975-10-15,full,53.46,cool
1975-10-15,rolling20y,46.61,cool
1975-10-16,full,53.46,cool
1975-10-16,rolling20y,46.61,cool
1975-10-17,full,53.46,cool
1975-10-17,rolling20y,46.61,cool
1975-10-20,full,53.46,cool
1975-10-20,rolling20y,46.61,cool
1975-10-21,full,53.46,cool
1975-10-21,rolling20y,46.61,cool
1975-10-22,full,53.46,cool
1975-10-22,rolling20y,46.61,cool
1975-10-23,full,53.46,cool
