date,window,pillar,score
1990-03-20,full,valuation,58.64
1990-03-20,rolling20y,leverage,99.38
1990-03-20,rolling20y,liquidity,46.22
1990-03-20,rolling20y,valuation,80.62
1990-03-21,full,leverage,99.68
1990-03-21,full,liquidity,41.63
1990-03-21,full,valuation,58.64
1990-03-21,rolling20y,leverage,99.38
1990-03-21,rolling20y,liquidity,46.22
1990-03-21,rolling20y,valuation,80.62
1990-03-22,full,leverage,99.68
1990-03-22,full,liquidity,40.98
1990-03-22,full,valuation,58.64
1990-03-22,rolling20y,leverage,99.38
1990-03-22,rolling20y,liquidity,45.57
1990-03-22,rolling20y,valuation,80.62
1990-03-23,full,leverage,99.68
1990-03-23,full,liquidity,40.98
1990-03-23,full,valuation,58.64
1990-03-23,rolling20y,leverage,99.38
1990-03-23,rolling20y,liquidity,45.57
1990-03-23,rolling20y,valuation,80.62
1990-03-26,full,leverage,99.68
1990-03-26,full,liquidity,41.09
1990-03-26,full,valuation,58.64
1990-03-26,rolling20y,leverage,99.38
1990-03-26,rolling20y,liquidity,45.68
1990-03-26,rolling20y,valuation,80.62
1990-03-27,full,leverage,99.68
1990-03-27,full,liquidity,40.77
1990-03-27,full,valuation,58.64
1990-03-27,rolling20y,leverage,99.38
1990-03-27,rolling20y,liquidity,45.36
1990-03-27,rolling20y,valuation,80.62
1990-03-28,full,leverage,99.68
1990-03-28,full,liquidity,40.64
1990-03-28,full,valuation,58.64
1990-03-28,rolling20y,leverage,99.38
1990-03-28,rolling20y,liquidity,45.23
1990-03-28,rolling20y,valuation,80.62
1990-03-29,full,leverage,99.68
1990-03-29,full,liquidity,40.22
1990-03-29,full,valuation,58.64
1990-03-29,rolling20y,leverage,99.38
1990-03-29,rolling20y,liquidity,44.81
1990-03-29,rolling20y,valuation,80.62
1990-03-30,full,leverage,99.68
1990-03-30,full,liquidity,39.98
1990-03-30,full,valuation,58.64
1990-03-30,rolling20y,leverage,99.38
1990-03-30,rolling20y,liquidity,44.57
1990-03-30,rolling20y,valuation,80.62
1990-04-02,full,leverage,99.37
1990-04-02,full,liquidity,40.51
1990-04-02,full,valuation,59.25
1990-04-02,rolling20y,leverage,98.75
1990-04-02,rolling20y,liquidity,45.27
1990-04-02,rolling20y,valuation,80.83
1990-04-03,full,leverage,99.37
1990-04-03,full,liquidity,40.58
1990-04-03,full,valuation,59.25
1990-04-03,rolling20y,leverage,98.75
1990-04-03,rolling20y,liquidity,45.34
1990-04-03,rolling20y,valuation,80.83
1990-04-04,full,leverage,99.37
1990-04-04,full,liquidity,40.65
1990-04-04,full,valuation,59.25
1990-04-04,rolling20y,leverage,98.75
1990-04-04,rolling20y,liquidity,45.41
1990-04-04,rolling20y,valuation,80.83
1990-04-05,full,leverage,99.37
1990-04-05,full,liquidity,40.49
1990-04-05,full,valuation,59.25
1990-04-05,rolling20y,leverage,98.75
1990-04-05,rolling20y,liquidity,45.25
1990-04-05,rolling20y,valuation,80.83
1990-04-06,full,leverage,99.37
1990-04-06,full,liquidity,40.36
1990-04-06,full,valuation,59.25
1990-04-06,rolling20y,leverage,98.75
1990-04-06,rolling20y,liquidity,45.13
1990-04-06,rolling20y,valuation,80.83
1990-04-09,full,leverage,99.37
1990-04-09,full,liquidity,40.23
1990-04-09,full,valuation,59.25
1990-04-09,rolling20y,leverage,98.75
1990-04-09,rolling20y,liquidity,44.99
1990-04-09,rolling20y,valuation,80.83
1990-04-10,full,leverage,99.37
1990-04-10,full,liquidity,40.09
1990-04-10,full,valuation,59.25
1990-04-10,rolling20y,leverage,98.75
1990-04-10,rolling20y,liquidity,44.86
1990-04-10,rolling20y,valuation,80.83
1990-04-11,full,leverage,99.37
1990-04-11,full,liquidity,39.95
1990-04-11,full,valuation,59.25
1990-04-11,rolling20y,leverage,98.75
1990-04-11,rolling20y,liquidity,44.71
1990-04-11,rolling20y,valuation,80.83
1990-04-12,full,leverage,99.37
1990-04-12,full,liquidity,39.95
1990-04-12,full,valuation,59.25
1990-04-12,rolling20y,leverage,98.75
1990-04-12,rolling20y,liquidity,44.71
1990-04-12,rolling20y,valuation,80.83
1990-04-13,full,leverage,99.37
1990-04-13,full,liquidity,39.95
1990-04-13,full,valuation,59.25
1990-04-13,rolling20y,leverage,98.75
1990-04-13,rolling20y,liquidity,44.71
1990-04-13,rolling20y,valuation,80.83
1990-04-16,full,leverage,99.37
1990-04-16,full,liquidity,39.95
1990-04-16,full,valuation,59.25
1990-04-16,rolling20y,leverage,98.75
1990-04-16,rolling20y,liquidity,44.71
1990-04-16,rolling20y,valuation,80.83
1990-04-17,full,leverage,99.37
1990-04-17,full,liquidity,39.95
1990-04-17,full,valuation,59.25
1990-04-17,rolling20y,leverage,98.75
1990-04-17,rolling20y,liquidity,44.71
1990-04-17,rolling20y,valuation,80.83
1990-04-18,full,leverage,99.37
1990-04-18,full,liquidity,39.95
1990-04-18,full,valuation,59.25
1990-04-18,rolling20y,leverage,98.75
1990-04-18,rolling20y,liquidity,44.71
1990-04-18,rolling20y,valuation,80.83
1990-04-19,full,leverage,99.37
1990-04-19,full,liquidity,40.11
1990-04-19,full,valuation,59.25
1990-04-19,rolling20y,leverage,98.75
1990-04-19,rolling20y,liquidity,44.87
1990-04-19,rolling20y,valuation,80.83
1990-04-20,full,leverage,99.37
1990-04-20,full,liquidity,39.22
1990-04-20,full,valuation,59.25
1990-04-20,rolling20y,leverage,98.75
1990-04-20,rolling20y,liquidity,43.98
1990-04-20,rolling20y,valuation,80.83
1990-04-23,full,leverage,99.37
1990-04-23,full,liquidity,39.41
1990-04-23,full,valuation,59.25
1990-04-23,rolling20y,leverage,98.75
1990-04-23,rolling20y,liquidity,44.17
1990-04-23,rolling20y,valuation,80.83
1990-04-24,full,leverage,99.37
1990-04-24,full,liquidity,39.8
1990-04-24,full,valuation,59.25
1990-04-24,rolling20y,leverage,98.75
1990-04-24,rolling20y,liquidity,44.57
1990-04-24,rolling20y,valuation,80.83
1990-04-25,full,leverage,99.37
1990-04-25,full,liquidity,40.11
1990-04-25,full,valuation,59.25
1990-04-25,rolling20y,leverage,98.75
1990-04-25,rolling20y,liquidity,44.88
1990-04-25,rolling20y,valuation,80.83
1990-04-26,full,leverage,99.37
1990-04-26,full,liquidity,40.4
1990-04-26,full,valuation,59.25
1990-04-26,rolling20y,leverage,98.75
1990-04-26,rolling20y,liquidity,45.16
1990-04-26,rolling20y,valuation,80.83
1990-04-27,full,leverage,99.37
1990-04-27,full,liquidity,39.79
1990-04-27,full,valuation,59.25
1990-04-27,rolling20y,leverage,98.75
1990-04-27,rolling20y,liquidity,44.55
1990-04-27,rolling20y,valuation,80.83
1990-04-30,full,leverage,99.37
1990-04-30,full,liquidity,39.79
1990-04-30,full,valuation,59.25
1990-04-30,rolling20y,leverage,98.75
1990-04-30,rolling20y,liquidity,44.55
1990-04-30,rolling20y,valuation,80.83
1990-05-01,full,leverage,99.37
1990-05-01,full,liquidity,39.44
1990-05-01,full,valuation,61.81
1990-05-01,rolling20y,leverage,98.75
1990-05-01,rolling20y,liquidity,44.04
1990-05-01,rolling20y,valuation,83.33
1990-05-02,full,leverage,99.37
1990-05-02,full,liquidity,39.73
1990-05-02,full,valuation,61.81
1990-05-02,rolling20y,leverage,98.75
1990-05-02,rolling20y,liquidity,44.33
1990-05-02,rolling20y,valuation,83.33
1990-05-03,full,leverage,99.37
1990-05-03,full,liquidity,39.43
1990-05-03,full,valuation,61.81
1990-05-03,rolling20y,leverage,98.75
1990-05-03,rolling20y,liquidity,44.03
1990-05-03,rolling20y,valuation,83.33
1990-05-04,full,leverage,99.37
1990-05-04,full,liquidity,38.41
1990-05-04,full,valuation,61.81
1990-05-04,rolling20y,leverage,98.75
1990-05-04,rolling20y,liquidity,43.01
1990-05-04,rolling20y,valuation,83.33
1990-05-07,full,leverage,99.37
1990-05-07,full,liquidity,38.49
1990-05-07,full,valuation,61.81
1990-05-07,rolling20y,leverage,98.75
1990-05-07,rolling20y,liquidity,43.09
1990-05-07,rolling20y,valuation,83.33
1990-05-08,full,leverage,99.37
1990-05-08,full,liquidity,38.25
1990-05-08,full,valuation,61.81
1990-05-08,rolling20y,leverage,98.75
1990-05-08,rolling20y,liquidity,42.85
1990-05-08,rolling20y,valuation,83.33
1990-05-09,full,leverage,99.37
1990-05-09,full,liquidity,38.49
1990-05-09,full,valuation,61.81
1990-05-09,rolling20y,leverage,98.75
1990-05-09,rolling20y,liquidity,43.1
1990-05-09,rolling20y,valuation,83.33
1990-05-10,full,leverage,99.37
1990-05-10,full,liquidity,38.49
1990-05-10,full,valuation,61.81
1990-05-10,rolling20y,leverage,98.75
1990-05-10,rolling20y,liquidity,43.09
1990-05-10,rolling20y,valuation,83.33
1990-05-11,full,leverage,99.37
1990-05-11,full,liquidity,38.95
1990-05-11,full,valuation,61.81
1990-05-11,rolling20y,leverage,98.75
1990-05-11,rolling20y,liquidity,43.55
1990-05-11,rolling20y,valuation,83.33
1990-05-14,full,leverage,99.37
1990-05-14,full,liquidity,38.8
1990-05-14,full,valuation,61.81
1990-05-14,rolling20y,leverage,98.75
1990-05-14,rolling20y,liquidity,43.4
1990-05-14,rolling20y,valuation,83.33
1990-05-15,full,leverage,99.37
1990-05-15,full,liquidity,38.68
1990-05-15,full,valuation,61.81
1990-05-15,rolling20y,leverage,98.75
1990-05-15,rolling20y,liquidity,43.29
1990-05-15,rolling20y,valuation,83.33
1990-05-16,full,leverage,99.37
1990-05-16,full,liquidity,38.37
1990-05-16,full,valuation,61.81
1990-05-16,rolling20y,leverage,98.75
1990-05-16,rolling20y,liquidity,42.97
1990-05-16,rolling20y,valuation,83.33
1990-05-17,full,leverage,99.37
1990-05-17,full,liquidity,38.47
1990-05-17,full,valuation,61.81
1990-05-17,rolling20y,leverage,98.75
1990-05-17,rolling20y,liquidity,43.08
1990-05-17,rolling20y,valuation,83.33
1990-05-18,full,leverage,99.37
1990-05-18,full,liquidity,38.59
1990-05-18,full,valuation,61.81
1990-05-18,rolling20y,leverage,98.75
1990-05-18,rolling20y,liquidity,43.19
1990-05-18,rolling20y,valuation,83.33
1990-05-21,full,leverage,99.37
1990-05-21,full,liquidity,38.47
1990-05-21,full,valuation,61.81
1990-05-21,rolling20y,leverage,98.75
1990-05-21,rolling20y,liquidity,43.07
1990-05-21,rolling20y,valuation,83.33
1990-05-22,full,leverage,99.37
1990-05-22,full,liquidity,38.69
1990-05-22,full,valuation,61.81
1990-05-22,rolling20y,leverage,98.75
1990-05-22,rolling20y,liquidity,43.3
1990-05-22,rolling20y,valuation,83.33
1990-05-23,full,leverage,99.37
1990-05-23,full,liquidity,38.82
1990-05-23,full,valuation,61.81
1990-05-23,rolling20y,leverage,98.75
1990-05-23,rolling20y,liquidity,43.42
1990-05-23,rolling20y,valuation,83.33
1990-05-24,full,leverage,99.37
1990-05-24,full,liquidity,38.45
1990-05-24,full,valuation,61.81
1990-05-24,rolling20y,leverage,98.75
1990-05-24,rolling20y,liquidity,43.05
1990-05-24,rolling20y,valuation,83.33
1990-05-25,full,leverage,99.37
1990-05-25,full,liquidity,38.17
1990-05-25,full,valuation,61.81
1990-05-25,rolling20y,leverage,98.75
1990-05-25,rolling20y,liquidity,42.78
1990-05-25,rolling20y,valuation,83.33
1990-05-28,full,leverage,99.37
1990-05-28,full,liquidity,38.17
1990-05-28,full,valuation,61.81
1990-05-28,rolling20y,leverage,98.75
1990-05-28,rolling20y,liquidity,42.78
1990-05-28,rolling20y,valuation,83.33
1990-05-29,full,leverage,99.37
1990-05-29,full,liquidity,38.33
1990-05-29,full,valuation,61.81
1990-05-29,rolling20y,leverage,98.75
1990-05-29,rolling20y,liquidity,42.94
1990-05-29,rolling20y,valuation,83.33
1990-05-30,full,leverage,99.37
1990-05-30,full,liquidity,38.33
1990-05-30,full,valuation,61.81
1990-05-30,rolling20y,leverage,98.75
1990-05-30,rolling20y,liquidity,42.94
1990-05-30,rolling20y,valuation,83.33
1990-05-31,full,leverage,99.37
1990-05-31,full,liquidity,38.83
1990-05-31,full,valuation,61.81
1990-05-31,rolling20y,leverage,98.75
1990-05-31,rolling20y,liquidity,43.43
1990-05-31,rolling20y,valuation,83.33
1990-06-01,full,leverage,99.37
1990-06-01,full,liquidity,38.72
1990-06-01,full,valuation,63.61
1990-06-01,rolling20y,leverage,98.75
1990-06-01,rolling20y,liquidity,43.43
1990-06-01,rolling20y,valuation,86.46
1990-06-04,full,leverage,99.37
1990-06-04,full,liquidity,38.47
1990-06-04,full,valuation,63.61
1990-06-04,rolling20y,leverage,98.75
1990-06-04,rolling20y,liquidity,43.19
1990-06-04,rolling20y,valuation,86.46
1990-06-05,full,leverage,99.37
1990-06-05,full,liquidity,38.47
1990-06-05,full,valuation,63.61
1990-06-05,rolling20y,leverage,98.75
1990-06-05,rolling20y,liquidity,43.19
1990-06-05,rolling20y,valuation,86.46
1990-06-06,full,leverage,99.37
1990-06-06,full,liquidity,38.61
1990-06-06,full,valuation,63.61
1990-06-06,rolling20y,leverage,98.75
1990-06-06,rolling20y,liquidity,43.32
1990-06-06,rolling20y,valuation,86.46
1990-06-07,full,leverage,99.37
1990-06-07,full,liquidity,38.61
1990-06-07,full,valuation,63.61
1990-06-07,rolling20y,leverage,98.75
1990-06-07,rolling20y,liquidity,43.32
